schema_type,name,description,format,created,last_modified,size,url,url_type,dkan_parent_dataset_node_id,dkan_parent_dataset_title,dkan_resource_node_id,dkan_uri
data,"Enrolment report - Dec. 31, 2011",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,41327,https://open.yukon.ca/sites/default/files/enrolment_report_december_2011.pdf,upload,51583,Enrolment reports 2011-12,51587,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/e77e4450-4c5e-44f7-a4e4-b211324b5f50
data,"Enrolment report - Jan. 31, 2012",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,38923,https://open.yukon.ca/sites/default/files/enrolment_report_january_2012.pdf,upload,51583,Enrolment reports 2011-12,51588,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/82b0fe94-1717-4317-bb8e-5e88db877c4b
data,"Enrolment report - Feb. 29, 2012",,PDF,2020-08-31 14:09:42,2021-04-01 00:01:14,36685,https://open.yukon.ca/sites/default/files/enrolment_report_february_2012.pdf,upload,51583,Enrolment reports 2011-12,51589,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/e17d2d8c-8a99-4ed0-a5e3-32eff4df99e6
data,"Enrolment report - Mar. 31, 2012",,PDF,2020-08-31 14:09:42,2021-04-01 00:01:14,33490,https://open.yukon.ca/sites/default/files/enrolment_report_march_2012.pdf,upload,51583,Enrolment reports 2011-12,51590,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/510291dd-265d-426f-86bf-c00250341cca
data,"Enrolment report - April 30, 2012",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,37231,https://open.yukon.ca/sites/default/files/enrolment_report_april_2012.pdf,upload,51583,Enrolment reports 2011-12,51591,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/61046757-163d-489e-ab1f-47fb9241e3b7
data,"Enrolment report - May 31st, 2012",,PDF,2020-08-31 14:09:42,2021-04-01 00:01:14,37924,https://open.yukon.ca/sites/default/files/enrolement_report_may_2012.pdf,upload,51583,Enrolment reports 2011-12,51592,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/db928791-4447-4d24-9c54-e9485ecfd8db
data,"Enrolment report - June 30th, 2012",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,38402,https://open.yukon.ca/sites/default/files/Enrolment_report_Jun_2012.pdf,upload,51583,Enrolment reports 2011-12,51593,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12/resource/b201bf96-e600-4874-ab64-e9e6d52d8c2f
data,"Enrolment report - September 30, 2004",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,8262,https://open.yukon.ca/sites/default/files/enrolment_september_2004.pdf,upload,51594,Enrolment reports 2004-05,51595,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05/resource/331376a8-27be-46af-b001-fdad3ab19d26
data,"Enrolment report - October 31, 2004",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:46,8143,https://open.yukon.ca/sites/default/files/enrolment_October_2004.pdf,upload,51594,Enrolment reports 2004-05,51596,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05/resource/0f2228d2-b52f-48cb-a692-eb5808777977
data,"Enrolment report - November 30, 2004",,PDF,2020-08-31 14:09:42,2021-04-01 00:01:14,8183,https://open.yukon.ca/sites/default/files/enrolment_november_2004.pdf,upload,51594,Enrolment reports 2004-05,51597,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05/resource/d95a02f2-f12d-4a89-8cdd-bb8e8c40bda5
data,"Enrolment report - December 31, 2004",,PDF,2020-08-31 14:09:42,2021-04-01 00:27:44,12187,https://open.yukon.ca/sites/default/files/enrolment_december_2004.pdf,upload,51594,Enrolment reports 2004-05,51598,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05/resource/8c4a2eb4-2cb3-4fb5-a94f-ac1a681546ff
data,"Enrolment report - January 31, 2005",,PDF,2020-08-31 14:09:42,2021-04-01 00:01:12,12287,https://open.yukon.ca/sites/default/files/enrolment_january_2005.pdf,upload,51594,Enrolment reports 2004-05,51599,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05/resource/96ed2e45-c96b-4feb-a82c-ec5e874be299
data,"Enrolment report - February 28, 2005",,PDF,2020-08-31 14:09:42,2021-04-01 00:01:12,12227,https://open.yukon.ca/sites/default/files/enrolment_february_2005.pdf,upload,51594,Enrolment reports 2004-05,51600,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05/resource/24626493-0005-4bd0-906e-639b005b6744
