"SCHEMA_TYPE","NAME","DESCRIPTION","FORMAT","CREATED","LAST_MODIFIED","DOC_SIZE","URL","URL_TYPE","PARENT_ID","DKAN_PARENT_DATASET_NODE_ID","DKAN_PARENT_DATASET_TITLE","DKAN_RESOURCE_NODE_ID","DKAN_URI"
"information","Map","File is 23.05 MB",".PDF","2018-10-15 11:10:40","2021-03-02 04:03:05","","https://ygsftp.gov.yk.ca/publications/openfile/2004/of2004_9.pdf","",42079,"","","",""
"information","Map","File is 1.48 MB",".PDF","2011-11-03 02:11:31","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/1998/gm1998_11.pdf","",42080,"","","",""
"information","Map","File is 10.12 MB",".PDF","2018-10-15 01:10:11","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_1.pdf","",42081,"","","",""
"information","Map","File is 11.37 MB",".PDF","2018-10-15 01:10:02","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_3.pdf","",42082,"","","",""
"information","Map","File is 12.24 MB",".PDF","2018-10-15 01:10:37","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_4.pdf","",42083,"","","",""
"information","Map","File is 12.45 MB",".PDF","2018-10-15 01:10:38","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_5.pdf","",42084,"","","",""
"information","Map","File is 10.74 MB",".PDF","2018-10-15 01:10:07","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_6.pdf","",42085,"","","",""
"information","Map","File is 14.66 MB",".PDF","2018-10-15 01:10:29","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_7_plate_7_105K6w.pdf","",42086,"","","",""
"information","Map","File is 13.23 MB",".PDF","2018-10-15 01:10:12","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_10.pdf","",42087,"","","",""
"information","Map","File is 17.1 MB",".PDF","2018-10-15 01:10:55","2021-03-02 04:03:03","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_11_plate_11_105k3e_6e.pdf","",42088,"","","",""
"information","Map","File is 11.48 MB",".PDF","2018-10-15 01:10:38","2021-03-02 04:03:04","","https://ygsftp.gov.yk.ca/publications/geoscience_map/2004/gm2004_13_plate_13_105k7sw.pdf","",42089,"","","",""
